sim_scenario,num_reps,pop_size_1,pop_size_2,mig_rate_1,mig_rate_2,prop_sampled,err_var,err_diag,miss_var,miss_diag
WF_simple,4,1200,1200,0.06,0.02,0.5,0.01,0.004,0.25,0.25
nonWF_simple,4,1200,1200,0.06,0.02,0.5,0.01,0.004,0.25,0.25
WF_simple,4,1200,1200,0.06,0.02,0.5,0.01,0.004,0.5,0.5
nonWF_simple,4,1200,1200,0.06,0.02,0.5,0.01,0.004,0.5,0.5
WF_simple,4,1200,1200,0.06,0.02,0.5,0.01,0.004,0.15,0.15
nonWF_simple,4,1200,1200,0.06,0.02,0.5,0.01,0.004,0.15,0.15
WF_simple,4,1200,1200,0.06,0.02,0.5,0.01,0.004,0,0
nonWF_simple,4,1200,1200,0.06,0.02,0.5,0.01,0.004,0,0
